Results from heasarc_fermilpsc: Fermi LAT Point Source Catalog
Coordinate system:  Equatorial
|ra        |dec      |flux_1_100_gev|flux_1_100_gev_error|source_type|
|06 34 18.1|+04 02 29|   4.35850e-09|         7.16251e-10|           |
|06 36 01.1|+04 58 51|   2.69681e-09|         5.64158e-10|spp        |
|06 36 10.5|-75 21 08|   1.75290e-09|         3.76039e-10|bzq        |
|06 39 54.6|+73 25 15|   5.95528e-10|         2.69597e-10|bzq        |
|06 41 31.2|+10 23 55|   1.05402e-09|         5.02254e-10|           |
|06 43 12.6|+08 59 58|   4.15713e-09|         5.86422e-10|agu        |
|06 45 30.2|+04 46 03|   1.01366e-09|         4.60438e-10|           |
|06 45 32.1|+60 33 57|   9.36628e-10|         2.68833e-10|agn        |
|06 47 22.0|+00 31 44|   1.04360e-09|         5.03064e-10|           |
|06 48 38.0|-60 52 45|   1.02110e-09|         0.00000e+00|           |
|06 48 45.1|-17 40 12|   2.51275e-09|         4.63295e-10|bzq        |
|06 48 49.7|+15 16 22|   1.76387e-09|         3.30962e-10|           |
|06 50 41.3|-16 35 32|   1.41807e-09|         4.09211e-10|agu        |
|06 50 43.6|+25 03 44|   1.79450e-09|         3.33418e-10|bzb        |
|06 51 07.2|-30 22 16|   1.08324e-09|         0.00000e+00|           |
|06 53 36.1|+82 36 54|   7.05794e-10|         0.00000e+00|           |
|06 54 18.1|+45 14 46|   6.05472e-09|         5.25801e-10|bzq        |
|06 54 29.4|+50 42 47|   4.14996e-09|         4.33584e-10|agu        |
|06 56 16.8|-03 21 41|   3.90305e-09|         5.84678e-10|agu        |
|06 58 33.5|+06 41 34|   1.31072e-09|         0.00000e+00|           |
|06 59 48.1|+14 14 21|   7.45829e-10|         2.83854e-10|PSR        |
|06 59 56.2|+13 03 08|   6.00333e-10|         2.50583e-10|           |
|07 00 24.2|-66 11 21|   4.72965e-09|         5.04310e-10|agu        |
|07 02 05.4|-46 28 55|   1.34415e-09|         3.11127e-10|bzq        |
|07 02 14.4|-19 54 03|   1.68915e-09|         4.03852e-10|agu        |
|07 05 59.6|-10 51 09|   1.56929e-09|         5.08889e-10|           |
|07 06 23.2|-48 49 31|   1.10029e-09|         3.09008e-10|agu        |
|07 06 30.0|+37 44 23|   1.06281e-09|         2.72082e-10|           |
|07 07 19.8|+77 42 08|   1.40551e-09|         2.74558e-10|           |
|07 09 01.8|-11 16 32|   1.40174e-09|         0.00000e+00|           |
|07 10 38.3|+59 11 07|   5.24640e-10|         2.00300e-10|bzb        |
|07 11 29.9|+47 31 47|   8.67692e-10|         2.69345e-10|bzb        |
|07 12 43.2|+50 33 42|   2.76037e-09|         3.76921e-10|bzb        |
|07 13 43.7|-09 50 28|   1.09085e-09|         4.93783e-10|           |
|07 14 03.5|+19 35 12|   6.37853e-09|         5.36927e-10|bzq        |
|07 18 46.5|-43 20 09|   3.00810e-09|         4.12653e-10|agu        |
|07 18 51.0|-49 58 41|   6.96133e-10|         3.13464e-10|           |
|07 19 23.1|+33 06 41|   6.68692e-09|         5.37552e-10|bzq        |
|07 21 24.9|+04 01 47|   7.61952e-10|         2.82950e-10|agu        |
|07 21 55.1|+71 20 41|   1.31199e-08|         6.81901e-10|bzb        |
|07 22 21.2|+58 37 41|   6.26097e-10|         2.65906e-10|bzb        |
|07 23 39.8|+29 08 51|   8.63882e-10|         2.50076e-10|           |
|07 24 09.3|-35 22 09|   1.21901e-09|         3.72246e-10|           |
|07 24 43.6|-22 23 00|   1.90164e-09|         5.49137e-10|           |
|07 24 45.4|-47 14 30|   8.08608e-10|         3.63290e-10|           |
|07 25 23.9|+14 31 24|   2.65512e-09|         3.78984e-10|bzq        |
|07 25 59.9|-00 53 52|   5.97047e-10|         2.77344e-10|bzb        |
|07 30 03.8|+33 05 23|   6.78784e-10|         2.40865e-10|bzb        |
|07 30 19.5|-11 41 59|   2.06671e-08|         9.59677e-10|bzq        |
|07 31 16.1|-19 10 08|   1.94098e-09|         0.00000e+00|           |
|07 31 55.8|-15 17 16|   1.52833e-09|         4.68319e-10|           |
|07 34 11.1|-77 15 33|   1.43004e-09|         3.96155e-10|agu        |
|07 34 44.1|-15 57 21|   3.95313e-09|         5.72360e-10|           |
|07 36 27.8|+40 53 56|   5.41846e-10|         2.56903e-10|           |
|07 37 25.1|-32 39 45|   1.39741e-09|         4.22422e-10|           |
|07 38 15.3|+17 41 54|   4.42406e-09|         4.53319e-10|bzb        |
|07 39 08.4|+01 38 23|   2.30918e-09|         3.67052e-10|bzq        |
|07 42 08.5|-48 50 00|   8.81797e-10|         0.00000e+00|           |
|07 42 14.8|+54 43 56|   2.21987e-09|         3.41835e-10|bzq        |
|07 42 49.0|-28 22 44|   1.54056e-09|         4.72263e-10|PSR        |
|07 43 01.1|-31 10 53|   1.66642e-09|         0.00000e+00|           |
|07 44 08.7|-25 23 31|   3.01311e-09|         5.41370e-10|           |
|07 45 17.2|+74 38 29|   5.28816e-10|         2.14134e-10|bzb        |
|07 46 34.4|-07 11 55|   8.69239e-10|         3.10607e-10|           |
|07 46 38.5|+25 48 15|   7.38000e-10|         2.42731e-10|bzq        |
|07 47 08.6|-23 33 39|   1.20338e-09|         4.56709e-10|           |
|07 47 25.0|-33 03 16|   4.36162e-09|         6.69416e-10|           |
|07 50 40.6|+12 35 24|   1.47648e-09|         3.00017e-10|bzq        |
|07 51 09.1|+18 07 39|   2.87797e-09|         3.82264e-10|PSR        |
|07 52 48.6|+53 53 38|   1.22187e-09|         2.74070e-10|bzb        |
|07 53 11.5|+46 49 13|   1.01612e-09|         0.00000e+00|           |
|07 53 41.8|-27 18 58|   1.98297e-09|         4.98253e-10|           |
|07 54 28.2|-11 47 38|   1.87486e-09|         3.57988e-10|agu        |
|07 57 13.8|+09 56 36|   1.97970e-09|         3.33300e-10|bzb        |
|07 58 38.0|-14 50 06|   8.09339e-10|         2.77761e-10|           |
|08 00 32.9|+44 07 52|   7.49837e-10|         2.54544e-10|agu        |
|08 02 27.8|-56 22 09|   1.55300e-09|         3.92457e-10|           |
|08 03 07.2|-03 39 16|   1.21689e-09|         2.84878e-10|           |
|08 04 46.5|+75 34 23|   1.35268e-09|         2.61104e-10|bzb        |
|08 06 12.5|+61 48 28|   6.26423e-10|         2.37626e-10|bzq        |
|08 07 05.4|-05 44 32|   1.40243e-09|         3.10502e-10|agu        |
|08 08 13.0|-07 50 24|   1.00089e-08|         6.62318e-10|bzq        |
|08 09 24.9|+34 55 59|   6.69121e-10|         2.51979e-10|bzb        |
|08 09 32.5|+52 19 04|   2.44796e-09|         3.42818e-10|bzb        |
|08 11 07.8|-75 27 57|   2.52753e-09|         4.22272e-10|agu        |
|08 11 14.5|+01 48 54|   1.07218e-09|         2.68492e-10|bzb        |
|08 14 34.5|-10 11 01|   1.09332e-09|         3.23607e-10|           |
|08 15 05.5|+64 34 07|   1.70144e-09|         2.95951e-10|bzb        |
|08 16 26.9|-13 11 36|   1.96911e-09|         3.41811e-10|bzb        |
|08 16 44.6|+57 39 39|   7.02939e-10|         2.57778e-10|bzb        |
|08 18 05.9|-09 38 58|   1.12632e-09|         3.04571e-10|bzb        |
|08 18 12.5|+42 22 54|   8.72633e-09|         5.99673e-10|bzb        |
|08 23 23.2|-42 48 35|   6.90173e-09|         8.27441e-10|spp        |
|08 25 03.6|+55 55 46|   8.96467e-10|         2.64531e-10|bzq        |
|08 25 52.3|-22 30 37|   5.29942e-09|         5.08180e-10|bzb        |
|08 25 56.3|-32 16 31|   1.43654e-09|         4.02888e-10|agu        |
|08 25 56.8|+03 09 08|   6.26999e-10|         2.29223e-10|bzb        |
|08 27 55.3|-37 38 57|   1.74518e-09|         5.57168e-10|agu        |
|08 28 55.1|+09 01 02|   4.86448e-10|         2.30373e-10|           |
|08 30 32.3|+24 07 17|   1.29711e-09|         2.96624e-10|bzq        |
|08 31 39.4|+04 29 37|   2.46807e-09|         3.55827e-10|bzb        |
|08 34 24.9|+42 21 58|   8.64898e-10|         2.44725e-10|bzq        |
|08 35 20.6|-45 10 35|   1.25193e-06|         7.04990e-09|PSR        |
|08 35 28.7|+09 36 06|   5.94546e-10|         0.00000e+00|bzb        |
|08 38 40.6|-28 28 46|   1.21597e-09|         3.21749e-10|           |
|08 39 34.2|+00 59 27|   1.58831e-09|         3.08851e-10|bzq        |
|08 40 50.4|+13 10 36|   1.07385e-09|         2.87897e-10|agn        |
|08 41 25.9|-35 58 48|   1.31259e-09|         3.52470e-10|           |
|08 41 56.7|-46 20 40|   4.33264e-09|         9.05159e-10|spp        |
|08 42 12.8|+02 51 31|   6.24882e-10|         2.50933e-10|bzb        |
|08 42 15.9|+70 54 06|   1.24380e-09|         2.77593e-10|bzq        |
|08 43 28.5|+67 18 55|   7.68097e-10|         2.35330e-10|           |
|08 44 01.7|+53 14 23|   6.72481e-10|         2.05641e-10|bzb        |
|08 45 04.1|-54 59 21|   1.87665e-09|         4.12344e-10|agu        |
|08 45 30.6|-43 27 33|   4.51426e-09|         8.49020e-10|           |
|08 45 57.9|-07 13 16|   6.84316e-10|         2.32203e-10|           |
|08 46 59.0|-23 34 35|   9.34543e-10|         3.17149e-10|agu        |
|08 47 17.8|+11 34 15|   7.27222e-10|         2.23803e-10|bzb        |
|08 47 26.0|+15 17 01|   6.74681e-10|         0.00000e+00|           |
|08 48 41.1|+05 04 50|   7.57436e-10|         0.00000e+00|           |
|08 49 00.7|-67 54 14|   9.93388e-10|         0.00000e+00|           |
|08 49 19.9|+66 07 56|   7.01167e-10|         2.57035e-10|           |
|08 49 25.3|-29 12 43|   8.60893e-10|         3.03457e-10|           |
|08 49 39.1|-35 40 35|   1.93253e-09|         4.49093e-10|agu        |
|08 49 56.9|+48 52 59|   1.63806e-09|         3.12356e-10|agu        |
|08 50 04.4|-12 13 05|   3.07291e-09|         3.98335e-10|bzq        |
|08 50 16.0|+34 57 39|   4.31980e-10|         2.08961e-10|bzb        |
|08 54 00.8|-46 32 32|   3.87547e-09|         7.52598e-10|spp        |
|08 54 39.1|-45 04 00|   5.40870e-09|         8.24759e-10|           |
|08 54 50.5|+20 06 31|   2.74894e-09|         3.66961e-10|bzb        |
|08 56 37.9|+21 03 43|   1.02409e-09|         2.70367e-10|bzq        |
|08 56 41.0|-11 05 38|   2.95634e-09|         3.88647e-10|agu        |
|08 57 43.4|-43 45 37|   2.79069e-09|         7.17977e-10|           |
|08 57 55.8|-25 53 16|   1.30016e-09|         0.00000e+00|           |
|09 00 32.6|+34 10 08|   8.05493e-10|         2.52623e-10|           |
|09 02 24.0|+20 50 53|   1.38913e-09|         2.84318e-10|           |
|09 02 32.9|-47 31 49|   4.12104e-09|         7.67217e-10|           |
|09 04 46.9|-35 14 55|   1.13063e-09|         3.96502e-10|           |
|09 05 08.6|-57 36 25|   1.84984e-09|         4.19749e-10|bzq        |
|09 05 34.0|+13 56 54|   1.04986e-09|         2.48585e-10|agu        |
|09 06 21.3|-48 55 39|   3.63713e-09|         8.18533e-10|           |
|09 06 29.1|-09 03 41|   4.82024e-10|         2.38721e-10|           |
|09 08 46.3|-21 19 24|   8.29998e-10|         0.00000e+00|           |
|09 09 05.5|+01 26 38|   2.41785e-09|         3.51484e-10|bzq        |
|09 09 12.1|+23 10 34|   5.83812e-10|         2.35888e-10|bzb        |
|09 09 40.2|-02 29 07|   2.15970e-09|         3.32588e-10|bzq        |
|09 10 26.0|-50 55 17|   3.23235e-09|         7.25139e-10|           |
|09 10 43.2|+33 32 06|   8.42546e-10|         2.53813e-10|bzb        |
|09 11 03.5|+22 47 06|   2.00914e-09|         3.42038e-10|bzq        |
|09 12 18.3|+41 27 49|   6.39865e-10|         2.29846e-10|bzq        |
|09 12 36.9|+27 56 10|   7.94211e-10|         0.00000e+00|           |
|09 15 45.9|+29 31 55|   2.10201e-09|         3.24902e-10|bzb        |
|09 19 36.1|+62 16 56|   1.12607e-09|         2.68971e-10|bzq        |
|09 20 57.9|+44 41 20|   1.39692e-08|         7.33687e-10|bzq        |
|09 22 03.2|+23 37 07|   9.33082e-10|         0.00000e+00|           |
|09 23 16.5|+41 21 02|   1.18684e-09|         2.72382e-10|agn        |
|09 24 13.8|+28 12 07|   1.25378e-09|         2.88614e-10|bzq        |
|09 26 57.5|+14 52 44|   7.55120e-10|         0.00000e+00|           |
|09 29 01.7|-35 31 46|   9.85767e-10|         3.49048e-10|           |
|09 29 29.6|+50 00 06|   7.20792e-10|         2.24755e-10|           |
|09 33 54.2|-62 28 31|   2.64760e-09|         4.44955e-10|           |
|09 34 30.8|+39 29 19|   6.43385e-10|         2.29828e-10|bzb        |
|09 37 45.6|+50 05 57|   8.45969e-10|         2.44311e-10|bzq        |
|09 40 12.3|-76 05 40|   1.02327e-09|         3.80195e-10|           |
|09 41 12.5|+27 22 21|   9.00134e-10|         0.00000e+00|bzq        |
|09 41 13.7|+61 49 47|   1.02348e-09|         2.48214e-10|bzb        |
|09 42 07.3|+43 13 30|   6.23519e-10|         0.00000e+00|           |
|09 45 39.2|+57 54 53|   1.06790e-09|         2.49963e-10|bzb        |
|09 46 41.3|+10 12 27|   9.07074e-10|         2.70284e-10|bzq        |
|09 49 00.1|+00 21 51|   2.52401e-09|         3.88856e-10|agn        |
|09 49 48.6|+17 57 18|   9.20906e-10|         0.00000e+00|bzq        |
|09 52 17.5|+39 26 14|   7.87665e-10|         0.00000e+00|bzb        |
|09 53 04.2|-08 38 46|   2.96112e-09|         3.83378e-10|bzb        |
|09 53 37.6|-15 05 28|   1.31753e-09|         3.03297e-10|           |
|09 55 16.6|-39 49 38|   1.63490e-09|         3.78645e-10|           |
|09 56 30.5|+69 38 21|   1.66069e-09|         3.14956e-10|sbg        |
|09 56 56.5|+25 13 19|   7.00528e-10|         2.19324e-10|bzq        |
|09 57 43.6|+55 23 32|   1.04591e-08|         6.27152e-10|bzq        |
|10 00 07.3|+65 39 18|   5.42733e-10|         2.63720e-10|bzb        |
|10 00 56.0|+29 15 00|   1.35231e-09|         2.67831e-10|bzb        |
|10 06 19.3|-56 48 39|   4.10123e-09|         9.54131e-10|           |
|10 07 04.3|+34 54 00|   7.66121e-10|         0.00000e+00|bzb        |
|10 07 11.1|-21 57 36|   9.46087e-10|         2.62158e-10|bzq        |
|10 07 57.3|+06 19 39|   1.22664e-09|         2.78975e-10|bzb        |
|10 11 01.7|-01 56 00|   7.11493e-10|         2.48552e-10|bzq        |
|10 12 14.7|+06 34 18|   7.95632e-10|         2.46215e-10|bzb        |
|10 12 43.3|+24 40 09|   3.14069e-09|         3.86287e-10|bzq        |
|10 14 02.6|-31 46 11|   1.14332e-09|         0.00000e+00|           |
|10 15 09.2|+49 27 09|   8.74119e-09|         5.86189e-10|bzb        |
|10 16 07.7|+05 14 06|   6.06110e-09|         5.17562e-10|bzq        |
|10 16 14.9|+35 48 44|   4.89306e-10|         2.37683e-10|           |
|10 18 41.4|-58 56 20|   2.85313e-08|         1.43565e-09|spp        |
|10 22 53.5|-01 15 01|   7.01056e-10|         2.61325e-10|bzb        |
|10 23 02.3|-57 46 09|   2.49431e-08|         1.47677e-09|PSR        |
|10 23 39.1|+39 37 18|   6.43629e-10|         2.16255e-10|bzq        |
|10 24 00.2|-43 32 56|   1.20759e-09|         2.90280e-10|bzb        |
|10 24 40.1|-07 18 58|   1.02582e-09|         2.69096e-10|psr        |
|10 27 06.9|-17 47 42|   6.44506e-10|         2.71791e-10|bzb        |
|10 28 28.0|-58 19 05|   3.13991e-08|         1.56118e-09|PSR        |
|10 28 46.2|-85 43 39|   1.21300e-09|         3.56303e-10|agu        |
|10 29 12.6|-64 22 23|   8.97239e-10|         4.40175e-10|           |
|10 31 01.4|+50 51 52|   9.74038e-10|         2.29435e-10|bzb        |
|10 32 42.5|+37 37 43|   8.67499e-10|         2.36166e-10|bzb        |
|10 33 16.7|+41 16 10|   1.09094e-09|         2.54239e-10|bzq        |
|10 33 33.6|-50 33 01|   1.01524e-09|         3.54180e-10|           |
|10 33 53.8|+60 48 08|   2.17269e-09|         3.23446e-10|bzq        |
|10 34 45.4|+73 53 16|   5.73181e-10|         2.82610e-10|           |
|10 36 15.7|-67 19 22|   3.22637e-09|         4.97959e-10|           |
|10 37 45.8|+57 11 43|   2.84182e-09|         3.48228e-10|bzb        |
|10 37 46.3|-28 20 50|   1.14626e-09|         3.00939e-10|agu        |
|10 40 30.5|+06 16 39|   1.31699e-09|         2.74534e-10|           |
|10 40 56.7|-12 05 00|   8.47726e-10|         0.00000e+00|           |
|10 43 09.3|+24 04 36|   1.48768e-09|         2.88515e-10|bzb        |
|10 44 32.8|-57 37 19|   1.48075e-08|         1.07802e-09|PSR        |
|10 45 13.3|-59 42 21|   2.50447e-08|         1.38642e-09|           |
|10 48 12.2|-58 32 06|   2.65498e-08|         1.36617e-09|PSR        |
|10 48 32.8|+72 39 54|   7.28350e-10|         2.36167e-10|agu        |
|10 48 45.3|+23 35 44|   1.06521e-09|         2.67395e-10|           |
|10 48 45.3|+80 54 03|   8.90251e-10|         2.36892e-10|bzq        |
|10 48 52.9|+71 45 06|   1.59411e-09|         2.99782e-10|bzq        |
|10 51 56.6|+01 06 27|   6.99756e-10|         2.66769e-10|bzb        |
|10 53 41.1|+49 27 01|   1.13762e-09|         2.34392e-10|bzb        |
|10 54 30.5|+22 12 36|   1.95040e-09|         3.19647e-10|bzb        |
|10 55 37.6|-76 11 02|   7.67270e-10|         3.81580e-10|           |
|10 57 17.6|-60 26 57|   7.59173e-09|         1.03548e-09|           |
|10 57 58.8|-52 26 56|   4.45951e-08|         1.44120e-09|PSR        |
|10 58 11.5|-80 06 53|   2.16154e-09|         3.99330e-10|bzb        |
|10 58 28.8|+01 34 53|   7.14337e-09|         5.58261e-10|bzq        |
|10 58 40.8|+56 28 48|   5.72531e-09|         4.66942e-10|bzb        |
|10 59 23.9|-11 32 31|   2.36672e-09|         3.53600e-10|bzb        |
|11 01 18.6|+10 09 25|   7.09179e-10|         0.00000e+00|           |
|11 03 46.7|-23 29 24|   6.40928e-10|         0.00000e+00|bzb        |
|11 03 55.8|-53 55 59|   6.06601e-09|         6.30799e-10|agu        |
|11 04 04.8|-60 47 50|   9.17371e-09|         1.08277e-09|           |
|11 04 26.9|+07 34 51|   1.03525e-09|         2.52164e-10|bzb        |
|11 04 29.9|+38 12 39|   2.61412e-08|         9.66355e-10|bzb        |
|11 06 14.8|-17 52 45|   9.12561e-10|         0.00000e+00|           |
|11 06 33.7|+28 09 58|   9.45813e-10|         2.45063e-10|agu        |
|11 06 43.2|-61 50 41|   2.69208e-09|         7.56917e-10|           |
|11 07 52.8|+15 02 59|   1.08780e-09|         2.58589e-10|bzb        |
|11 08 21.4|+02 10 11|   7.53485e-10|         2.93599e-10|agn        |
|11 09 59.3|+71 34 38|   8.87962e-10|         0.00000e+00|bzb        |
|11 10 14.3|-18 39 57|   1.12986e-09|         2.83428e-10|agu        |
|11 10 20.9|-16 22 13|   6.69716e-10|         2.82649e-10|           |
|11 10 27.1|-45 18 55|   9.41693e-10|         3.21284e-10|           |
|11 12 11.5|-60 41 34|   1.38741e-08|         1.15269e-09|           |
|11 12 22.6|+04 58 04|   7.56388e-10|         0.00000e+00|           |
|11 12 48.8|+34 44 11|   9.33177e-10|         2.59498e-10|bzq        |
|11 15 12.5|-61 24 07|   5.81550e-09|         1.12022e-09|           |
|11 17 05.2|-53 39 15|   9.04922e-10|         3.48924e-10|           |
|11 17 11.8|+20 13 20|   2.38523e-09|         3.33236e-10|bzb        |
|11 18 05.2|+53 54 30|   5.12874e-10|         2.19090e-10|bzb        |
|11 19 24.6|-61 27 10|   7.28650e-09|         1.07595e-09|spp        |
|11 19 33.9|-30 44 57|   7.70656e-10|         0.00000e+00|bzb        |
|11 19 58.1|-22 05 19|   3.03639e-09|         3.97756e-10|           |
|11 20 29.3|+07 10 21|   8.24293e-10|         2.28482e-10|agu        |
|11 21 00.6|+42 09 39|   1.05405e-09|         2.44919e-10|bzb        |
|11 21 31.3|-05 54 27|   4.03674e-09|         4.45519e-10|bzq        |
|11 22 54.5|-64 15 19|   2.42538e-09|         0.00000e+00|agu        |
|11 23 37.4|-25 28 27|   1.02968e-09|         2.82214e-10|           |
|11 23 40.0|-45 55 15|   8.87532e-10|         3.56116e-10|           |
|11 23 59.3|+23 39 46|   8.54367e-10|         0.00000e+00|bzb        |
|11 24 26.3|-36 54 45|   2.23365e-09|         3.98538e-10|           |
|11 24 39.0|-59 16 19|   6.42636e-09|         7.47851e-10|PSR        |
|11 25 34.8|-35 59 52|   9.70668e-10|         3.34632e-10|agu        |
|11 26 00.2|-07 41 34|   6.77459e-10|         2.38662e-10|bzb        |
|11 26 51.4|-18 54 45|   2.44671e-09|         3.80320e-10|bzq        |
|11 27 44.1|-62 44 28|   3.56600e-09|         8.26262e-10|           |
|11 29 13.8|-05 28 07|   7.41301e-10|         2.73414e-10|           |
|11 29 22.6|+37 57 25|   8.03279e-10|         2.63724e-10|           |
|11 30 13.7|-14 47 43|   2.41701e-09|         3.64259e-10|bzq        |
|11 33 07.0|+00 33 47|   2.08992e-09|         3.36991e-10|bzb        |
|11 34 52.6|-60 55 55|   5.38784e-09|         7.96021e-10|spp        |
|11 36 04.8|-62 26 03|   4.21916e-09|         9.44408e-10|           |
|11 36 14.4|+67 39 33|   6.61259e-10|         2.01818e-10|bzb        |
|11 36 35.4|-70 04 30|   9.70695e-10|         0.00000e+00|           |
|11 36 37.9|+70 09 53|   1.67857e-09|         2.78980e-10|bzb        |
|11 36 56.7|+25 51 37|   5.18636e-10|         2.41334e-10|bzb        |
|11 38 03.2|+41 09 41|   5.51863e-10|         2.49064e-10|           |
|11 41 52.1|-14 03 38|   6.70038e-10|         2.98813e-10|           |
|11 41 53.0|+15 49 15|   1.02580e-09|         2.81180e-10|agu        |
|11 42 42.1|+01 27 05|   1.07419e-09|         2.60406e-10|           |
|11 46 54.0|+40 04 48|   9.72651e-10|         2.56016e-10|bzq        |
|11 46 59.0|-38 12 37|   2.43391e-09|         3.81964e-10|bzq        |
|11 47 46.4|-07 22 05|   2.04546e-09|         3.50676e-10|bzq        |
|11 50 15.8|+24 19 16|   1.04577e-09|         2.61497e-10|bzb        |
|11 50 33.8|+41 52 56|   2.24604e-09|         3.29332e-10|bzb        |
|11 51 25.7|-13 45 33|   9.26866e-10|         0.00000e+00|agu        |
|11 51 37.8|+58 57 39|   7.12847e-10|         2.80846e-10|bzb        |
|11 52 09.2|+60 27 37|   6.20443e-10|         2.78541e-10|           |
|11 52 13.3|-08 36 55|   1.00953e-09|         2.96243e-10|bzq        |
|11 53 28.8|-81 08 50|   1.11226e-09|         3.69257e-10|           |
|11 54 02.8|-00 08 49|   6.12102e-10|         2.52461e-10|bzb        |
|11 54 17.6|-32 42 03|   1.32978e-09|         3.18138e-10|agu        |
|11 56 47.1|-07 51 16|   8.17083e-10|         2.62663e-10|           |
|11 59 24.7|+29 14 38|   5.29654e-09|         4.82080e-10|bzq        |
|11 59 29.2|-21 49 16|   1.85343e-09|         3.56147e-10|bzq        |
|11 59 52.9|+02 00 39|   9.24143e-10|         2.42090e-10|           |
|12 02 59.2|+60 32 09|   1.05151e-09|         2.51100e-10|agn        |
|12 04 19.0|-07 14 27|   6.86133e-10|         2.45051e-10|bzb        |
|12 04 29.7|+11 39 53|   7.51327e-10|         2.30198e-10|bzb        |
|12 05 56.9|-26 38 00|   7.03832e-10|         2.69123e-10|bzq        |
|12 07 01.5|-50 55 43|   1.24695e-09|         3.50880e-10|           |
|12 07 29.9|-62 39 18|   7.38068e-09|         1.07164e-09|           |
|12 09 18.3|+54 44 30|   6.41653e-10|         2.18992e-10|bzq        |
|12 09 29.1|+41 19 13|   5.47329e-10|         2.27248e-10|bzb        |
|12 09 46.8|+18 06 01|   7.95324e-10|         2.41840e-10|bzq        |
|12 13 39.0|-44 24 08|   1.25634e-09|         3.45091e-10|           |
|12 13 47.2|-62 40 27|   8.70167e-09|         1.09920e-09|spp        |
|12 14 24.7|-23 05 48|   1.03862e-09|         3.11254e-10|           |
|12 14 58.2|+50 04 54|   8.62966e-10|         0.00000e+00|bzb        |
|12 17 47.1|+30 07 14|   6.65997e-09|         5.50287e-10|bzb        |
|12 18 28.5|-01 28 15|   1.63371e-09|         3.06275e-10|           |
|12 19 48.6|-03 09 49|   8.92332e-10|         2.62375e-10|bzb        |
|12 20 14.3|+34 32 01|   5.54386e-10|         1.93168e-10|bzb        |
|12 21 20.4|+30 08 36|   3.30567e-09|         4.32712e-10|bzb        |
|12 21 25.8|-06 35 11|   9.04127e-10|         2.67161e-10|           |
|12 21 33.5|+28 14 48|   6.92284e-09|         5.33404e-10|bzb        |
|12 21 34.6|+71 06 20|   5.31653e-10|         2.27701e-10|bzq        |
|12 22 33.2|+04 16 00|   9.24970e-10|         2.59825e-10|bzq        |
|12 23 28.6|-30 34 20|   1.27039e-09|         0.00000e+00|           |
|12 24 16.7|+50 12 15|   9.54105e-10|         0.00000e+00|           |
|12 24 47.7|+21 21 48|   2.36595e-09|         3.46515e-10|bzq        |
|12 24 52.0|+80 44 34|   9.84465e-10|         2.57342e-10|bzb        |
|12 25 51.9|+43 36 05|   8.14617e-10|         0.00000e+00|agu        |
|12 26 02.1|+29 54 48|   1.17499e-09|         2.73934e-10|           |
|12 26 47.7|-13 32 54|   1.60642e-09|         3.39540e-10|bzb        |
|12 26 50.1|+06 38 46|   5.98632e-10|         0.00000e+00|bzb        |
|12 27 54.6|-48 52 43|   3.40812e-09|         4.88100e-10|           |
|12 28 17.8|+48 55 48|   1.29428e-09|         2.87788e-10|bzq        |
|12 29 06.1|+02 03 09|   9.55037e-09|         6.32606e-10|bzq        |
|12 30 24.6|+25 20 38|   1.41826e-09|         2.80695e-10|bzb        |
|12 30 53.1|+12 23 38|   1.42453e-09|         2.98486e-10|agn        |
|12 31 11.4|-14 10 29|   1.64053e-08|         8.28950e-10|           |
|12 31 36.8|+28 50 03|   3.11094e-09|         3.77099e-10|bzb        |
|12 32 13.1|-51 18 19|   1.02701e-09|         3.59595e-10|           |
|12 33 42.0|-01 46 47|   8.21577e-10|         2.55310e-10|bzb        |
|12 34 01.2|-57 36 46|   1.95806e-09|         4.96171e-10|           |
|12 39 32.6|+04 43 25|   3.77882e-09|         4.24380e-10|bzq        |
|12 40 23.6|-71 54 17|   1.55968e-09|         0.00000e+00|           |
|12 41 39.6|-62 40 47|   5.31309e-09|         1.02117e-09|           |
|12 43 08.8|+36 27 20|   1.77971e-09|         2.89427e-10|bzb        |
|12 45 49.3|-06 32 02|   9.15787e-10|         0.00000e+00|           |
|12 46 43.8|-25 45 43|   8.11211e-09|         6.25196e-10|bzq        |
|12 48 13.8|+58 20 11|   4.45387e-09|         4.24802e-10|bzb        |
|12 49 23.2|-28 12 43|   7.88270e-10|         0.00000e+00|           |
|12 49 53.4|+37 06 47|   8.23948e-10|         2.11680e-10|           |
|12 51 00.0|-49 40 25|   1.05100e-09|         3.23168e-10|           |
|12 51 22.6|+10 44 32|   8.61061e-10|         0.00000e+00|           |
|12 53 03.5|+53 01 28|   3.03388e-09|         3.75285e-10|bzb        |
|12 53 43.6|+03 26 07|   9.17321e-10|         0.00000e+00|bzb        |
|12 54 01.5|+62 36 59|   4.62915e-10|         1.88305e-10|bzb        |
|12 54 28.6|+22 09 00|   1.07351e-09|         0.00000e+00|           |
|12 56 11.7|-59 22 40|   1.33254e-09|         5.12889e-10|           |
|12 56 12.8|-05 47 28|   3.23880e-08|         1.11510e-09|BZQ        |
|12 56 32.0|-11 48 48|   9.92075e-10|         2.94401e-10|agu        |
|12 56 58.2|+36 50 01|   7.34381e-10|         2.23845e-10|           |
|12 56 59.4|-63 37 16|   4.91624e-09|         9.60862e-10|           |
|12 58 21.0|+21 25 15|   6.50311e-10|         0.00000e+00|           |
